Network Size,Strain,Young's Modulus,Probability
20,0.00807459,1,0.8
0,0,0.148149,-0.0542633,1,1,1
0,1,1.15533,-0.289586,1,1,1
0,2,2.12766,-0.434191,0,1,1
0,3,3.23833,-0.343729,1,1,1
0,4,3.17434,0.0061521,1,1,1
0,5,5.08092,0.221675,1,1,0
0,6,5.81683,-0.396083,1,1,1
0,7,7.31874,-0.123709,1,1,1
0,8,7.52404,-0.049065,1,1,1
0,9,7.80734,-0.235367,1,1,1
0,10,8.89455,-0.796535,0,1,0
0,11,10.8087,-0.0733948,0,0,1
0,12,12.529,-0.726847,0,0,1
0,13,12.759,0.299409,1,1,1
0,14,14.1716,-0.6065,0,1,0
0,15,16.6584,-1.25261,1,0,0
0,16,16.3763,-0.57557,0,1,1
0,17,17.6176,-0.122125,1,1,1
0,18,18.4263,0.385481,1,1,1
0,19,19.1902,-0.403247,1,0,1
1,0,0.601135,0.186535,0,1,1
1,1,1.85957,0.28972,1,1,1
1,2,3.22784,0.00336564,1,1,0
1,3,3.05077,-0.185196,0,0,1
1,4,3.89324,0.202767,0,1,1
1,5,4.94019,0.891098,1,1,1
1,6,6.00375,0.755452,1,1,1
1,7,7.21839,0.782572,1,1,1
1,8,7.83517,-0.0118911,1,1,1
1,9,9.19971,0.775397,1,1,0
1,10,10.4621,0.294481,1,0,1
1,11,12.5799,0.293357,1,1,1
1,12,13.021,0.367312,1,1,1
1,13,12.837,0.669642,1,1,1
1,14,14.0847,-0.0387736,1,1,0
1,15,15.619,0.156704,1,1,1
1,16,16.5791,-0.00942824,0,0,1
1,17,18.2622,0.777392,1,1,1
1,18,19.2828,0.219502,1,1,0
1,19,20.6942,-0.154177,1,0,0
2,0,1.52772,1.03091,1,1,0
2,1,2.37924,1.21964,1,1,1
2,2,2.65902,0.881172,1,1,1
2,3,3.83249,1.21913,1,1,1
2,4,4.87751,1.02937,1,1,1
2,5,4.70584,1.24347,0,1,1
2,6,7.14376,0.60433,1,1,1
2,7,7.06095,0.90434,1,0,1
2,8,7.85467,1.24014,0,1,1
2,9,9.56733,1.10131,0,1,1
2,10,12.7643,-0.185962,0,0,0
2,11,13.2473,1.69613,1,1,1
2,12,13.0948,1.82957,1,1,0
2,13,13.224,1.66107,0,1,1
2,14,15.3388,0.992517,0,1,0
2,15,16.5993,0.895215,1,1,1
2,16,17.1891,1.88808,1,1,1
2,17,17.6656,1.84382,0,1,0
2,18,19.7304,1.30472,1,1,1
2,19,20.4925,0.419502,1,0,0
3,0,2.07375,2.003,1,1,0
3,1,2.37682,1.92066,1,1,1
3,2,3.62886,1.72308,1,0,1
3,3,4.36242,2.02966,1,0,1
3,4,5.3399,1.99757,1,1,1
3,5,5.83761,1.87168,0,1,1
3,6,7.79082,1.5713,1,1,0
3,7,8.68724,1.33729,1,1,1
3,8,9.29383,1.61723,1,1,1
3,9,9.13176,1.57415,0,0,1
3,10,12.7348,2.24974,1,1,1
3,11,13.139,2.22085,1,1,1
3,12,13.0879,2.1848,1,0,1
3,13,14.4016,2.76151,1,1,1
3,14,15.3271,1.96808,0,1,1
3,15,17.097,2.0213,0,1,1
3,16,17.3561,2.62821,1,1,1
3,17,18.532,2.17758,1,1,1
3,18,19.8281,2.17005,1,1,0
3,19,21.0432,2.60193,1,1,0
4,0,2.31333,2.94115,1,1,1
4,1,2.91557,3.1141,1,1,1
4,2,3.93616,3.26662,1,1,1
4,3,4.36737,3.36849,1,1,1
4,4,5.99857,3.0561,1,1,1
4,5,6.2554,2.43168,1,1,1
4,6,7.91151,2.27477,0,1,1
4,7,8.94968,2.75289,1,1,1
4,8,10.3052,2.56905,1,0,1
4,9,11.7362,2.95421,1,1,0
4,10,12.2936,3.41493,0,1,0
4,11,12.9727,3.25796,1,1,1
4,12,13.9445,3.62776,1,1,1
4,13,15.0574,3.11,1,1,0
4,14,16.1879,2.65243,1,1,1
4,15,17.1807,2.93723,1,1,1
4,16,17.9831,3.55238,1,1,1
4,17,17.9642,3.46302,1,1,1
4,18,19.2897,3.55311,0,1,0
4,19,21.4314,3.86211,1,1,1
5,0,2.50023,3.98621,1,1,0
5,1,3.45142,4.46419,1,1,1
5,2,4.27647,3.30805,0,1,0
5,3,5.38438,3.9983,1,1,1
5,4,6.1314,3.00568,1,1,1
5,5,6.89002,3.40711,0,1,1
5,6,8.90026,2.89364,1,0,1
5,7,9.7019,3.61247,1,1,1
5,8,10.1499,4.57422,1,1,1
5,9,11.6511,4.53258,1,1,1
5,10,12.84,4.64373,1,0,1
5,11,13.901,3.74518,1,1,0
5,12,14.6801,4.21105,1,1,1
5,13,15.7257,4.08147,1,1,1
5,14,16.7609,3.73962,1,1,1
5,15,18.2562,3.62283,1,1,0
5,16,18.127,3.634,1,1,0
5,17,18.3633,3.70694,1,1,1
5,18,19.9181,4.21286,1,0,1
5,19,21.8552,3.89497,1,1,1
6,0,2.77249,5.29274,1,1,1
6,1,4.24267,5.27462,1,1,1
6,2,4.69739,4.82388,0,1,1
6,3,5.401,3.94859,1,0,1
6,4,6.65481,4.03403,1,1,0
6,5,8.00513,3.85069,1,0,1
6,6,9.04595,5.16843,1,1,1
6,7,10.3717,5.35521,0,1,1
6,8,11.2406,4.98047,1,0,1
6,9,12.5492,5.48443,1,1,0
6,10,12.2949,5.38606,0,0,1
6,11,14.235,4.39402,1,1,1
6,12,14.6599,4.48045,1,0,1
6,13,15.7832,4.374,1,0,1
6,14,16.8004,5.02225,1,1,1
6,15,17.6064,4.88265,1,0,1
6,16,18.382,4.71506,1,0,1
